"unit_name","municipality","province","autonomous_community","google_criteria_id","google_name","google_canonical_name","google_target_type","match_type"
"Albaladejo del Cuende, Cuenca","Albaladejo del Cuende","Cuenca","Castilla-La Mancha",NA,NA,NA,NA,"unmatched"
"Albaladejo, Ciudad Real","Albaladejo","Ciudad Real","Castilla-La Mancha",NA,NA,NA,NA,"unmatched"
"Albalat de la Ribera, Valencia","Albalat de la Ribera","Valencia","Comunidad Valenciana",NA,NA,NA,NA,"unmatched"
"Albalat dels Sorells, Valencia","Albalat dels Sorells","Valencia","Comunidad Valenciana","9250807","Albalat dels Sorells","Albalat dels Sorells,Valencian Community,Spain","Municipality","name+community"
"Albalat dels Tarongers, Valencia","Albalat dels Tarongers","Valencia","Comunidad Valenciana",NA,NA,NA,NA,"unmatched"
"Albalate de Cinca, Huesca","Albalate de Cinca","Huesca","Aragón",NA,NA,NA,NA,"unmatched"
"Albalate de Zorita, Guadalajara","Albalate de Zorita","Guadalajara","Castilla-La Mancha",NA,NA,NA,NA,"unmatched"
"Albalate de las Nogueras, Cuenca","Albalate de las Nogueras","Cuenca","Castilla-La Mancha",NA,NA,NA,NA,"unmatched"
"Albalate del Arzobispo, Teruel","Albalate del Arzobispo","Teruel","Aragón",NA,NA,NA,NA,"unmatched"
"Albalatillo, Huesca","Albalatillo","Huesca","Aragón",NA,NA,NA,NA,"unmatched"
"Albalá, Cáceres","Albalá","Cáceres","Extremadura",NA,NA,NA,NA,"unmatched"
"Albanchez de Mágina, Jaén","Albanchez de Mágina","Jaén","Andalucía",NA,NA,NA,NA,"unmatched"
"Albanyà, Girona","Albanyà","Girona","Cataluña",NA,NA,NA,NA,"unmatched"
"Albares, Guadalajara","Albares","Guadalajara","Castilla-La Mancha",NA,NA,NA,NA,"unmatched"
"Albarracín, Teruel","Albarracín","Teruel","Aragón",NA,NA,NA,NA,"unmatched"
"Albarreal de Tajo, Toledo","Albarreal de Tajo","Toledo","Castilla-La Mancha",NA,NA,NA,NA,"unmatched"
"Albatana, Albacete","Albatana","Albacete","Castilla-La Mancha",NA,NA,NA,NA,"unmatched"
"Albatera, Alicante","Albatera","Alicante","Comunidad Valenciana","9232058","Albatera","Albatera,Valencian Community,Spain","Municipality","name+community"
"Albatàrrec, Lleida","Albatàrrec","Lleida","Cataluña",NA,NA,NA,NA,"unmatched"
"Albelda de Iregua, La Rioja","Albelda de Iregua","La Rioja","La Rioja",NA,NA,NA,NA,"unmatched"
"Albelda, Huesca","Albelda","Huesca","Aragón",NA,NA,NA,NA,"unmatched"
"Albendea, Cuenca","Albendea","Cuenca","Castilla-La Mancha",NA,NA,NA,NA,"unmatched"
"Albendiego, Guadalajara","Albendiego","Guadalajara","Castilla-La Mancha",NA,NA,NA,NA,"unmatched"
"Albentosa, Teruel","Albentosa","Teruel","Aragón",NA,NA,NA,NA,"unmatched"
"Alberic, Valencia","Alberic","Valencia","Comunidad Valenciana",NA,NA,NA,NA,"unmatched"
"Alberite de San Juan, Zaragoza","Alberite de San Juan","Zaragoza","Aragón",NA,NA,NA,NA,"unmatched"
"Alberite, La Rioja","Alberite","La Rioja","La Rioja",NA,NA,NA,NA,"unmatched"
"Albero Alto, Huesca","Albero Alto","Huesca","Aragón",NA,NA,NA,NA,"unmatched"
"Albero Bajo, Huesca","Albero Bajo","Huesca","Aragón",NA,NA,NA,NA,"unmatched"
"Alberuela de Tubo, Huesca","Alberuela de Tubo","Huesca","Aragón",NA,NA,NA,NA,"unmatched"
"Albesa, Lleida","Albesa","Lleida","Cataluña",NA,NA,NA,NA,"unmatched"
