"unit_name","province","google_criteria_id","google_name","google_canonical_name","google_target_type"
"Bolaños de Calatrava, Ciudad Real","Ciudad Real","9247012","Bolanos de Calatrava","Bolanos de Calatrava,Castile-La Mancha,Spain","Municipality"
"Bollullos Par del Condado, Huelva","Huelva","9049014","Bollullos Par del Condado","Bollullos Par del Condado,Andalusia,Spain","City"
"Bormujos, Sevilla","Sevilla","9221526","Bormujos","Bormujos,Andalusia,Spain","Municipality"
"Brenes, Sevilla","Sevilla","1005408","Brenes","Brenes,Andalusia,Spain","City"
"Brunete, Madrid","Madrid","9213629","Brunete","Brunete,Community of Madrid,Spain","Municipality"
"Bràfim, Tarragona","Tarragona","9219101","Brafim","Brafim,Catalonia,Spain","Municipality"
"Buitrago del Lozoya, Madrid","Madrid","9237298","Buitrago del Lozoya","Buitrago del Lozoya,Community of Madrid,Spain","Municipality"
"Bullas, Murcia","Murcia","9049015","Bullas","Bullas,Region of Murcia,Spain","City"
"Bunyola, Baleares","Baleares","9209957","Bunyola","Bunyola,Balearic Islands,Spain","Municipality"
"Burela, Lugo","Lugo","9261521","Burela","Burela,Galicia,Spain","Municipality"
"Burgos, Burgos","Burgos","9218585","Municipality of Burgos","Municipality of Burgos,Castile and Leon,Spain","Municipality"
"Burguillos del Cerro, Badajoz","Badajoz","9219901","Burguillos del Cerro","Burguillos del Cerro,Extremadura,Spain","Municipality"
"Burguillos, Sevilla","Sevilla","9212568","Burguillos","Burguillos,Andalusia,Spain","Municipality"
"Burjassot, Valencia","Valencia","9191429","Municipality of Burjassot","Municipality of Burjassot,Valencian Community,Spain","Municipality"
"Busot, Alicante","Alicante","9227084","Busot","Busot,Valencian Community,Spain","Municipality"
"Buñol, Valencia","Valencia","1005537","Bunol","Bunol,Valencian Community,Spain","City"
"Bárcena de Cicero, Cantabria","Cantabria","9220015","Barcena de Cicero","Barcena de Cicero,Cantabria,Spain","Municipality"
"Béjar, Salamanca","Salamanca","9049007","Bejar","Bejar,Castile and Leon,Spain","City"
"Bétera, Valencia","Valencia","9221126","Municipality of Betera","Municipality of Betera,Valencian Community,Spain","Municipality"
"Búger, Baleares","Baleares","9217930","Buger","Buger,Balearic Islands,Spain","Municipality"
"Cabana de Bergantiños, A Coruña","A Coruña","9212602","Cabana de Bergantinos","Cabana de Bergantinos,Galicia,Spain","Municipality"
"Cabra, Córdoba","Córdoba","9238240","Cabra","Cabra,Andalusia,Spain","Municipality"
"Cabrera de Mar, Barcelona","Barcelona","9250577","Cabrera de Mar","Cabrera de Mar,Catalonia,Spain","City"
"Cabrils, Barcelona","Barcelona","9237029","Cabrils","Cabrils,Catalonia,Spain","City"
"Calahorra, La Rioja","La Rioja","9049018","Calahorra","Calahorra,La Rioja,Spain","City"
"Calasparra, Murcia","Murcia","9049019","Calasparra","Calasparra,Region of Murcia,Spain","City"
"Caldes de Montbui, Barcelona","Barcelona","9223724","Caldes de Montbui","Caldes de Montbui,Catalonia,Spain","Municipality"
"Calella, Barcelona","Barcelona","9195730","Calella","Calella,Catalonia,Spain","City"
"Callosa de Segura, Alicante","Alicante","9049021","Callosa de Segura","Callosa de Segura,Valencian Community,Spain","City"
"Calvià, Baleares","Baleares","9214701","Calvia","Calvia,Balearic Islands,Spain","Municipality"
"Camaleño, Cantabria","Cantabria","9215701","Camaleno","Camaleno,Cantabria,Spain","Municipality"
"Camargo, Cantabria","Cantabria","1005524","Camargo","Camargo,Cantabria,Spain","Municipality"
"Camarma de Esteruelas, Madrid","Madrid","9238129","Camarma de Esteruelas","Camarma de Esteruelas,Community of Madrid,Spain","Municipality"
